,Symbol,Name,Sector,Industy
293,LYB,LyondellBasell,Materials,INDUSTRIAL ORGANIC CHEMICALS
294,MTB,M&T Bank,Financials,STATE COMMERCIAL BANKS
295,MRO,Marathon Oil,Energy,CRUDE PETROLEUM & NATURAL GAS
296,MPC,Marathon Petroleum,Energy,PETROLEUM REFINING
297,MKTX,MarketAxess,Financials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
298,MAR,Marriott International,Consumer Discretionary,HOTELS & MOTELS
299,MMC,Marsh & McLennan,Financials,"INSURANCE AGENTS, BROKERS & SERVICE"
300,MLM,Martin Marietta Materials,Materials,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
301,MAS,Masco,Industrials,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES"
302,MA,Mastercard,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
303,MTCH,Match Group,Communication Services,"RETAIL-RETAIL STORES, NEC"
304,MKC,McCormick & Company,Consumer Staples,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
305,MCD,McDonald's,Consumer Discretionary,RETAIL-EATING PLACES
306,MCK,McKesson Corporation,Health Care,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
307,MDT,Medtronic,Health Care,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
308,MRK,Merck & Co.,Health Care,PHARMACEUTICAL PREPARATIONS
309,MET,MetLife,Financials,LIFE INSURANCE
310,MTD,Mettler Toledo,Health Care,LABORATORY ANALYTICAL INSTRUMENTS
311,MGM,MGM Resorts International,Consumer Discretionary,HOTELS & MOTELS
312,MCHP,Microchip Technology,Information Technology,SEMICONDUCTORS & RELATED DEVICES
313,MU,Micron Technology,Information Technology,SEMICONDUCTORS & RELATED DEVICES
314,MSFT,Microsoft,Information Technology,SERVICES-PREPACKAGED SOFTWARE
315,MAA,Mid-America Apartments,Real Estate,REAL ESTATE INVESTMENT TRUSTS
316,MRNA,Moderna,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
317,MHK,Mohawk Industries,Consumer Discretionary,CARPETS & RUGS
318,TAP,Molson Coors Beverage Company,Consumer Staples,MALT BEVERAGES
319,MDLZ,Mondelez International,Consumer Staples,FOOD AND KINDRED PRODUCTS
320,MPWR,Monolithic Power Systems,Information Technology,SEMICONDUCTORS & RELATED DEVICES
321,MNST,Monster Beverage,Consumer Staples,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
322,MCO,Moody's Corporation,Financials,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
323,MS,Morgan Stanley,Financials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
324,MSI,Motorola Solutions,Information Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
325,MSCI,MSCI,Financials,"SERVICES-BUSINESS SERVICES, NEC"
326,NDAQ,Nasdaq,Financials,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
327,NTAP,NetApp,Information Technology,COMPUTER STORAGE DEVICES
328,NFLX,Netflix,Communication Services,SERVICES-VIDEO TAPE RENTAL
329,NWL,Newell Brands,Consumer Discretionary,"PLASTICS PRODUCTS, NEC"
330,NEM,Newmont,Materials,GOLD AND SILVER ORES
331,NWSA,News Corp (Class A),Communication Services,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
332,NWS,News Corp (Class B),Communication Services,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
333,NEE,NextEra Energy,Utilities,ELECTRIC SERVICES
334,NLSN,Nielsen Holdings,Industrials,"SERVICES-BUSINESS SERVICES, NEC"
335,NKE,Nike,Consumer Discretionary,RUBBER & PLASTICS FOOTWEAR
336,NI,NiSource,Utilities,ELECTRIC & OTHER SERVICES COMBINED
337,NSC,Norfolk Southern,Industrials,"RAILROADS, LINE-HAUL OPERATING"
338,NTRS,Northern Trust,Financials,STATE COMMERCIAL BANKS
339,NOC,Northrop Grumman,Industrials,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
340,NLOK,NortonLifeLock,Information Technology,SERVICES-PREPACKAGED SOFTWARE
341,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,WATER TRANSPORTATION
342,NRG,NRG Energy,Utilities,ELECTRIC SERVICES
343,NUE,Nucor,Materials,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
344,NVDA,Nvidia,Information Technology,SEMICONDUCTORS & RELATED DEVICES
345,NVR,NVR,Consumer Discretionary,OPERATIVE BUILDERS
346,NXPI,NXP,Information Technology,SEMICONDUCTORS & RELATED DEVICES
347,ORLY,O'Reilly Automotive,Consumer Discretionary,RETAIL-AUTO & HOME SUPPLY STORES
348,OXY,Occidental Petroleum,Energy,CRUDE PETROLEUM & NATURAL GAS
349,ODFL,Old Dominion Freight Line,Industrials,TRUCKING (NO LOCAL)
350,OMC,Omnicom Group,Communication Services,SERVICES-ADVERTISING AGENCIES
351,OKE,Oneok,Energy,NATURAL GAS TRANSMISISON & DISTRIBUTION
352,ORCL,Oracle,Information Technology,SERVICES-PREPACKAGED SOFTWARE
353,OGN,Organon & Co.,Health Care,PHARMACEUTICAL PREPARATIONS
354,OTIS,Otis Worldwide,Industrials,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
355,PCAR,Paccar,Industrials,MOTOR VEHICLES & PASSENGER CAR BODIES
356,PKG,Packaging Corporation of America,Materials,PAPERBOARD CONTAINERS & BOXES
357,PH,Parker-Hannifin,Industrials,MISCELLANEOUS FABRICATED METAL PRODUCTS
358,PAYX,Paychex,Information Technology,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
359,PAYC,Paycom,Information Technology,SERVICES-PREPACKAGED SOFTWARE
360,PYPL,PayPal,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
361,PENN,Penn National Gaming,Consumer Discretionary,HOTELS & MOTELS
362,PNR,Pentair,Industrials,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
363,PBCT,People's United Financial,Financials,
364,PEP,PepsiCo,Consumer Staples,BEVERAGES
365,PKI,PerkinElmer,Health Care,LABORATORY ANALYTICAL INSTRUMENTS
366,PFE,Pfizer,Health Care,PHARMACEUTICAL PREPARATIONS
367,PM,Philip Morris International,Consumer Staples,CIGARETTES
368,PSX,Phillips 66,Energy,PETROLEUM REFINING
369,PNW,Pinnacle West Capital,Utilities,ELECTRIC SERVICES
370,PXD,Pioneer Natural Resources,Energy,CRUDE PETROLEUM & NATURAL GAS
371,PNC,PNC Financial Services,Financials,NATIONAL COMMERCIAL BANKS
372,POOL,Pool Corporation,Consumer Discretionary,WHOLESALE-MISC DURABLE GOODS
373,PPG,PPG Industries,Materials,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
374,PPL,PPL,Utilities,ELECTRIC SERVICES
375,PFG,Principal Financial Group,Financials,ACCIDENT & HEALTH INSURANCE
376,PG,Procter & Gamble,Consumer Staples,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
377,PGR,Progressive Corporation,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
378,PLD,Prologis,Real Estate,REAL ESTATE INVESTMENT TRUSTS
379,PRU,Prudential Financial,Financials,LIFE INSURANCE
380,PTC,PTC,Information Technology,SERVICES-PREPACKAGED SOFTWARE
381,PEG,Public Service Enterprise Group,Utilities,ELECTRIC & OTHER SERVICES COMBINED
382,PSA,Public Storage,Real Estate,REAL ESTATE INVESTMENT TRUSTS
383,PHM,PulteGroup,Consumer Discretionary,OPERATIVE BUILDERS
384,PVH,PVH,Consumer Discretionary,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
385,QRVO,Qorvo,Information Technology,SEMICONDUCTORS & RELATED DEVICES
386,QCOM,Qualcomm,Information Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
387,PWR,Quanta Services,Industrials,ELECTRICAL WORK
388,DGX,Quest Diagnostics,Health Care,SERVICES-MEDICAL LABORATORIES
389,RL,Ralph Lauren Corporation,Consumer Discretionary,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
390,RJF,Raymond James Financial,Financials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
